Url,Title
/comic/solo-leveling(only-i-level-up)_15227640605485101,Solo Leveling(Only I level up)
/comic/beauty-and-the-beasts_14279238705852001,Beauty and the Beasts
/comic/when-beauty-meets-beasts_22183012806966801,When beauty meets beasts
/comic/tales-of-demons-and-gods_14622895506049901,Tales of Demons and Gods
/comic/how-to-tame-your-beast-husbands_23936735905507401,How to Tame Your Beast Husbands
/comic/national-school-prince-is-a-girl_15887375205230101,National School Prince Is A Girl
/comic/astral-pet-store_24751317505732701,Astral Pet Store
/comic/cultivation-chat-group_11609847806441001,Cultivation Chat Group
/comic/perfect-secret-love-the-bad-new-wife-is-a-little-sweet_16189206605128401,Perfect Secret Love: The Bad New Wife is a Little Sweet
/comic/release-that-witch_13137713105817601,Release that Witch
/comic/i-have-twin-girlfriends_20680556305680401,I Have Twin Girlfriends
/comic/super-gene_22546031505952701,Super Gene
/comic/battle-through-the-heavens_13741824806105701,Battle Through the Heavens
/comic/martial-peak_14866013705882901,Martial Peak
/comic/trial-marriage-husband-need-to-work-hard_16767141005164301,Trial Marriage Husband: Need to Work Hard
/comic/the-legendary-mechanic_18253983706056201,The Legendary Mechanic
/comic/monster-pet-evolution_22072856806372901,Monster Pet Evolution
/comic/reincarnation-of-the-businesswoman-at-school_21605261306029901,Reincarnation Of The Businesswoman At School
/comic/queen-of-poison-the-legend-of-a-super-agent-doctor-and-princess_15411351606390601,"Queen of Poison: the Legend of a Super Agent, Doctor and Princess"
/comic/versatile-mage_11610241506441101,Versatile Mage
/comic/my-wife-is-the-demon-queen_20662233706706801,My Wife is the Demon Queen
/comic/world's-best-martial-artist_17190724406942301,World's Best Martial Artist
/comic/the-duke's-hidden-baby-bogo!_17242463905015801,The Duke's Hidden Baby: BOGO!
/comic/rebirth-of-the-urban-immortal-cultivator_12273128505179701,Rebirth Of The Urban Immortal Cultivator
/comic/the-devil-butler_18814203805122001,The Devil Butler
/comic/a-beginner-with-the-mightiest-account_23930207106661301,A Beginner with the Mightiest Account
/comic/my-girlfriend-is-a-zombie_14017933605996401,My Girlfriend is a Zombie
/comic/spare-me-great-lord!_16541051906427701,"Spare Me, Great Lord!"
/comic/the-king's-avatar_17959825305729101,The King's Avatar
/comic/the-divine-doctor_13137684906876901,The Divine Doctor
/comic/be-a-eunuch's-wife-to-control-the-world_18796186605046601,Be A Eunuch's Wife To Control The World
/comic/psychic-princess_21086496805159801,Psychic Princess
/comic/mesmerizing-ghost-doctor_13136855306872401,Mesmerizing Ghost Doctor
/comic/the-brocaded-tale-of-the-girl-si_17465540106127601,The Brocaded Tale of The Girl Si
