qidianBookId,numOfChapters,numOfCollectedChapters,completionPercentage,missingChapterIds,noCommentChapterIds
3691373,30,29,100.0,[],['788184497']
1321320,82,78,100.0,[],"['26664393', '26877992', '63027631', '385681856']"
2136013,30,29,100.0,[],['35316186']
1192037,100,96,100.0,[],"['23741416', '25546054', '38686512', '48031966']"
1911245,98,91,100.0,[],"['36311716', '31922175', '32130362', '32273460', '32396327', '32428071', '32430690']"
1003903188,30,29,100.0,[],['325644496']
3434836,115,108,99.08256880733946,['85964736'],"['81213865', '82410051', '82827441', '82873721', '82787248', '82884312']"
3692857,83,80,98.76543209876543,['96043669'],"['96082618', '96218886']"
3446747,44,43,97.72727272727273,['81923744'],[]
1003692682,114,108,94.73684210526315,"['343998860', '341658919', '341658932', '341658947', '341658981', '341659039', '341659059', '341660460', '341660505', '341660614', '341660644', '341660671', '341660711', '341660737', '341660806', '341660843', '341660876', '341660931', '341660985', '341661038', '341663999', '341664086', '341664152', '341664240', '341664278', '341664329', '341664357', '341664391', '341664433', '341974854', '341990949', '341990986', '342039430', '342039657', '342039840', '342114246', '342114355', '342156151', '342240180', '342278599', '342308031', '342348840', '342375105', '342407991', '342408061', '342468985', '342469037', '342555341', '342556298', '342624055', '342624099', '342689854', '342689860', '342757210', '342757288', '342824256', '342824263', '342886981', '342887080', '342887138', '342887182', '343018297', '343018407', '343091700', '343091716', '343172784', '343172813', '343243473', '343243578', '343315513', '343315526', '343373409', '343373422', '343373481', '343373523', '343432484', '343432590', '343489259', '343656784', '343656802', '343904591', '343904703', '344011257', '344011278', '344083980', '344084044', '344152936', '344152965', '344213156', '344213344', '344236803', '344276111', '344283059', '344276147', '344353673', '344353709', '344593972', '344594033', '344931233', '344931261', '345728269', '345728315', '345795998', '345796049', '345855414', '345855445', '345911099', '345911124', '345993872', '345995086', '346072324', '346072360', '346228740', '346228841']",[]
1003483393,132,119,90.15151515151516,"['307826633', '308253085', '308327959', '308476955', '309211992', '309456978', '309922723', '310324432', '310370083', '310677190', '311360285', '311467171', '311568208']",[]
1005406434,131,118,90.07633587786259,"['353206944', '353206988', '353786554', '354344613', '354433908', '355025987', '358105801', '358957519', '359140302', '359264636', '360707474', '364885205', '367262048']",[]
1005038448,136,119,87.5,"['350193761', '350241532', '350273414', '350327429', '350431267', '350805466', '350897257', '351161711', '351568743', '351735140', '353018840', '354746340', '354952367', '355278865', '355403351', '356446120', '357927884']",[]
1524659,109,95,87.1559633027523,"['27229236', '27266208', '27324050', '27638163', '27669393', '28130552', '28317938', '29693281', '29693308', '29693320', '30812512', '30931734', '32932677', '33647501']",[]
3456256,98,85,86.73469387755102,"['82190881', '82342640', '82414469', '82677959', '82749962', '82819573', '82968405', '83190199', '83261666', '83279506', '83334107', '83572169', '83798222']",[]
1003694333,125,108,86.4,"['315522919', '315824650', '315903231', '315946679', '315947082', '316332299', '316583755', '316957280', '318500426', '318558663', '318614041', '318614242', '318767634', '319044276', '319045155', '322761071', '324456016']",[]
2351015,88,76,86.36363636363636,"['81180529', '39441882', '39446500', '39474481', '39610373', '39628821', '39654584', '39767731', '39844662', '39914334', '39936400', '40052069']",[]
2750457,72,62,86.11111111111111,"['46354696', '46360582', '46420056', '46456485', '46484002', '46537009', '46548212', '46726572', '46749069', '46893637']",[]
2048120,93,80,86.02150537634408,"['33688042', '33713339', '33722931', '33774575', '33886209', '33905691', '33990469', '34066417', '34106477', '34215320', '34273603', '34290972', '34337128']",[]
2248950,100,85,85.0,"['37426106', '37550755', '37738786', '37769863', '37801013', '37820217', '37833414', '37904036', '38001548', '38068346', '38215912', '38255592', '38281533', '38291679', '38298942']",[]
1003374314,105,89,84.76190476190476,"['305792241', '306721394', '315444277', '315829983', '316098212', '306102882', '306212820', '306621186', '306999647', '307413840', '307580121', '308097173', '308492542', '308515794', '308797072', '308887424']",[]
3088498,131,111,84.7328244274809,"['88857678', '50908032', '50914541', '50955855', '50999598', '51197390', '51262571', '51443374', '51474881', '51492495', '51529996', '51727275', '51758864', '51772428', '51845944', '51924460', '51933797', '51969229', '51994022', '52046223']",[]
3362920,201,170,84.5771144278607,"['81269644', '81269709', '81269792', '81269870', '81269913', '81269960', '81269994', '73315161', '73315216', '82450910', '82450952', '82450965', '82450977', '82450993', '73315286', '82451039', '82451046', '82451054', '82451066', '372898570', '533086063', '73315190', '73315349', '76628918', '308066070', '308066073', '308066117', '77648786', '77790283', '78786516', '80062550']",[]
1003529357,114,96,84.21052631578947,"['310158936', '349709694', '376049607', '309219607', '309054148', '309054181', '310029970', '310307003', '310443651', '310491557', '310879323', '311667945', '311869174', '312766786', '315466681', '315934275', '317591357', '317671264']",[]
1006629321,124,104,83.87096774193549,"['359239150', '359336456', '359348162', '359452342', '359954085', '360972897', '362296340', '363011746', '366212152', '367268450', '368686074', '368888407', '369331427', '369414293', '370018353', '370599239', '370678171', '370685526', '371707640', '372312810']",[]
1004819231,134,112,83.5820895522388,"['341804666', '347343346', '352931334', '379358810', '387430124', '341410527', '341664332', '341737414', '342085032', '342487367', '342637608', '343182372', '344023065', '344527408', '346910502', '347230560', '347313061', '348644014', '348787572', '348878645', '349293413', '350019365']",[]
1004073922,131,109,83.20610687022901,"['325656330', '325901898', '325984508', '328339840', '328372747', '328542242', '328573307', '328600614', '328717456', '332366814', '332709188', '333734903', '336198112', '336826172', '338056481', '340317275', '340813154', '341208435', '341275641', '341491191', '341801053', '342154052']",[]
3569244,88,73,82.95454545454545,"['93008279', '306813567', '86456781', '86460931', '86525829', '86537672', '86642170', '86679411', '86753126', '87463037', '87497387', '87541393', '87691884', '87692181', '87804245']",[]
1004879785,108,89,82.4074074074074,"['350898539', '377402703', '342729080', '342888120', '343211360', '343490886', '345633372', '346036624', '346112272', '346276918', '346448306', '346543977', '346625120', '349029110', '349191752', '349262756', '349914344', '350079782', '350286367']",[]
1003489343,165,134,81.21212121212122,"['316451641', '317618665', '317883048', '318482893', '318672136', '318775826', '318991237', '324837882', '325592136', '325610134', '326966920', '327931556', '328619029', '333272079', '336461132', '343213883', '352961068', '358612504', '358614142', '308097715', '308278676', '308325357', '309555743', '309583227', '309694955', '310219677', '310402655', '310494402', '311119622', '311618816', '312772297']",[]
